"SRS ID","Body Site","Assembly file location","Assembly MD5","Assembly File Size","Reads file location","Reads MD5","Reads File Size"
"SRS045049","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS045049.scaffolds.fa.bz2","a613805dd70b796d43e20bdb1a51ce37","8286174","/data/Illumina/buccal_mucosa/SRS045049.tar.bz2","ca73a5e8cadefaaa33b63d9ed03225a0","834366498"
"SRS046623","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS046623.scaffolds.fa.bz2","e5cf16ef2379311766d8705fe5147ef1","1888529","/data/Illumina/buccal_mucosa/SRS046623.tar.bz2","82efb6cf0b96a8e21fc816e2c2bfa6e8","422161568"
"SRS050007","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS050007.scaffolds.fa.bz2","c68fe24dc8a71fe132759a98f34fcbea","208887","/data/Illumina/buccal_mucosa/SRS050007.tar.bz2","c6b5fbb727816e1d35bc96a3db66aa61","103287267"
"SRS052668","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS052668.scaffolds.fa.bz2","7601ec2f4f2c845288e3dc6819a7d387","8649983","/data/Illumina/buccal_mucosa/SRS052668.tar.bz2","b1038596904f5afb248e522237276a1b","909310851"
"SRS055118","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS055118.scaffolds.fa.bz2","c67fee89fb450a01f082aedf9b6ed204","558066","/data/Illumina/buccal_mucosa/SRS055118.tar.bz2","683f91778b63355fad1f7f093d989467","457236910"
"SRS057022","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS057022.scaffolds.fa.bz2","88d169e2a7984ffeacb46923207cc674","9389846","/data/Illumina/buccal_mucosa/SRS057022.tar.bz2","f5191810aabdb854e544501bd2146d3d","1060322977"
"SRS058186","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS058186.scaffolds.fa.bz2","a3b906a2c0ba17d8649aee6d75f33a43","3086273","/data/Illumina/buccal_mucosa/SRS058186.tar.bz2","acab47d32953619df795611ac1c5e77e","223358291"
"SRS063272","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS063272.scaffolds.fa.bz2","52c88f8d1adc81111a9765a3ff9f5cef","6815940","/data/Illumina/buccal_mucosa/SRS063272.tar.bz2","f2d6a1e84230294eb1e974fb484511e2","480903764"
"SRS016944","left_retroauricular_crease","/data/HMASM/PGAs/left_retroauricular_crease/SRS016944.scaffolds.fa.bz2","755479118b8a1a535f1a448184d40ced","1397965","/data/Illumina/left_retroauricular_crease/SRS016944.tar.bz2","225af4d878d9a3c8d2a0f2a20be4243a","270781891"
"SRS015061","palatine_tonsils","/data/HMASM/PGAs/palatine_tonsils/SRS015061.scaffolds.fa.bz2","dcc894d46f2cee2aae8a9eaee222d512","3708935","/data/Illumina/palatine_tonsils/SRS015061.tar.bz2","8cf0c547f6113328b8871d9595801c52","272327125"
"SRS011269","posterior_fornix","/data/HMASM/PGAs/posterior_fornix/SRS011269.scaffolds.fa.bz2","0f9a54d454917d87f8a8e6348600fcd3","1545935","/data/Illumina/posterior_fornix/SRS011269.tar.bz2","e7d80f24568cb696109504bb295a59ef","387030460"
"SRS011263","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS011263.scaffolds.fa.bz2","28f220153952e35ee3c547e783fabb8b","16143","/data/Illumina/anterior_nares/SRS011263.tar.bz2","30784966e7148842e5b05068efda2d55","30630950"
"SRS013876","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS013876.scaffolds.fa.bz2","9944ccebf6d1f2ba5f667ff13b014cc6","2644606","/data/Illumina/anterior_nares/SRS013876.tar.bz2","153c8fe0950c40c086bd58ab59e72329","177409068"
"SRS015640","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS015640.scaffolds.fa.bz2","6a352b0685ec954535dee0b5d38a1f3c","53695","/data/Illumina/anterior_nares/SRS015640.tar.bz2","595baf36d8b3dcdd21149b3086ccbbee","18415433"
"SRS015996","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS015996.scaffolds.fa.bz2","80901b633f8131eaec7f9ea74ecb5a1f","3120347","/data/Illumina/anterior_nares/SRS015996.tar.bz2","a70c227876fe5955fe1fdab9b136d2c1","365463394"
"SRS016033","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS016033.scaffolds.fa.bz2","536b9c0cfe63c38e40ca11605bd241bd","16824","/data/Illumina/anterior_nares/SRS016033.tar.bz2","fd9a7d1556834b1c19327489b38b21e1","25555143"
"SRS016105","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS016105.scaffolds.fa.bz2","abe4593942ae71a0cedc229c936707d7","383045","/data/Illumina/anterior_nares/SRS016105.tar.bz2","ebca47d19f3afb2e713addd21e15b159","72239353"
"SRS017244","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS017244.scaffolds.fa.bz2","560a9b0b50ef3be3cdb7a20f1531cce9","21797","/data/Illumina/anterior_nares/SRS017244.tar.bz2","b7c2dec67738f317cb8826c09e1a9e39","24687838"
